Rut;Nombre;Direccion;Direccion2;Ciudad;Pais;Contacto;Contacto2;Fax;Telefono
35004201-6;Anphachem Company Limited;16  18 STREET NO. 4, CITYLAND PARK HILLS, WARD 10, GO VAP DISTRICT, HO CHI MINH CITY, VIETNAM.;;CITYLAND PARK HILLS, WARD 10, GO VAP DISTRICT, HO CHI MINH CITY;Vietnam;Nhut;;;
35004400-0;MSC Co Ltd;"45-73, Soju Hoeya-ro, Yangsan-Si; Gyeongsangnam-do";;Gyeongsangnam-do;South Korea;Juho;;;
35004401-9;Geltech Co., Ltd.;40, janghan-ro, Dongdaemun-gu, Seoul, Korea;;Seoul;South Korea;Ji Hee Choi;;;
36000000-1;Cliente de Europa;;;;.;;;;
36000200-4;Condetta GmbH & Co. KG;Paulinenweg 12 33790 Halle;;Halle;Germany;Sarra;;;+49 (0) 5201 12-8975
36000201-2;FRIESLANDCAMPINA GERMANY GMB H;PO BOX 31 51 D-74021 HEILBRONN;;HEILBRONN;Germany;;;;4971314898811
36000202-0;NORDMANN, RASSMANN GMBH;KAJEN 2. D-20459. HAMBURG;;HAMBURG;Germany;;;;040 36 87 257/7257
36000203-9;ODW FRISCHPRODUKTE GMBH;BAHNHOFSTRASSE 31. 64747 BREUBERG;;BREUBERG;Germany;;;;
36000204-7;MANE DEUTSCHLAND GMB;KERPENER STRABE 154, KERPEN;;;Germany;;;;
36000205-5;BK Giulini GmbH & Co.OHG - Ges. für Chemische Erzeugnisse;;;;Germany;;;;
36000206-3;Berg + Schmidt GmbH & Co. KG;An der Alster 81 20099;;;Germany;Ms Florence Olechowski;;;
36000207-1;BIOLOG BIOTECHNOLOGIE UND LOGISTIK GMBH;Gewerbegebiet Queis, Max-Planck-Ring 45;;;Germany;Anke Wunder;;;
36000208-K;Global Trading - Dairy Products;Landwehrweg 21;;;Germany;Mr. Hans Meetz;;;
36000209-8;Satrp GmbH;Wiedenbrucker Strasse 80;;;Germany;;;;
36000210-1;Kahl Gmbh & Co.KG;Otto-Hahn-Straße 2BEZONS;;;Germany;;;;
36000211-K;G.C HAHN & CO.;Roggenhorster Str. 31 23556 Lubeck;;;Germany;;;;
36000212-8;BEMPFLINGER LEBENSMITTEL GMBH;Mittelstadter Strasse 48 Bempflingen;;;Germany;;;;
36000213-6;FRUTAROM GERMANY;REESER STRASSE 60 46446 EMMERICH GERMANY;;EMMERICH;Germany;Miss Peeck Karin;;;49 0 2822 920 107
36000214-4;RUF LEBENMITTELWERK;;;;Germany;;;;
36000215-2;NOSSEK NAHRUNGSMITTELWERK GmbH;;;;Germany;;;;
36000216-0;MARTIN BAUER GmbH & Co. KG;;;;Germany;;;;
36000217-9;Ohly GmbH;;;;Germany;;;;
36000218-7;HOCHLAND DEUTSCHLAND GMBH;;;;Germany;;;;
36000219-5;SAHNEMOLKEREI H. WIESEHOFF GMBH;;;;Germany;;;;
36000220-9;DMK Deutsches Milchkontor Gmbh;Zeven 27404;;;Germany;Markus Schacht;;;
36000221-7;KaTech Katharina Hahn + Partner GmbH;Aegidienstrasse 22,23552 Lübeck;;;Germany;;;;
36000222-5;Procena GmbH;Faerberstr. 30 89257 Illertissen;;;Germany;;;;
36000223-3;Frieslandcampina Kievit GmbH;Wiedenbrucker Strasse 80 Postal code 59555 LIPPSTADT;;LIPPSTADT;Germany;;;;
36000224-1;E.V.A. GmbH;Irsengunder Str. 13 D  88179 Oberreute;;;Germany;;;;
36000225-K;Tofutown Lüneburger Heide GmbH;;;;Germany;;;;
36000226-8;MEIER PUDDING GmbH Co. KG;;;;Germany;;;;
36000227-6;NanoSaar Lab GmbH;;;;Germany;;;;
36000228-4;JERMI Käsewerk GmbH;;;;Germany;;;;
36000229-2;MEGGLE AG;;;;Germany;;;;
36000230-6;Happy-Cheeze  Glücksküche;;;;Germany;;;;
36000231-4;ICL Food Specialties, GNPD;;;;Germany;;;;
36000232-2;Merz Pharmaceuticals GmbH;;;;Germany;;;;
36000233-0;Bruckner Werke KG;;;;Germany;;;;
36000234-9;HILTRUD ROHEN KOLH;;;;Germany;;;;
36000235-7;Neuburger Milchwerke GmbH;Nördliche Grünauerstr. 28 / 86633 Neuburg/Donau;;Donau;Germany;Michaela;;;
36000236-5;BASF SE;Entity 0702 D-10899 Berlin;;Berlin;Germany;Helmuth;;;
36000237-3;BASF Personal Care and Nutrition GmbH;Entity 0702 D-10899 Berlin;;Berlin;Germany;Katharina;;;
36000238-1;HASAN AKTEN;Hasencleverstr. 3 51109 Koln;;51109 Koln;Germany;Hasan;;;+4915730851614
36000239-K;Frulact Germany GmbH;Reeser Strasse 60 / D-46446 Emmerich;;EMMERICH;Germany;Cathrine;;;49 0 2822 920 107
36000239-K;Frulact Germany GmbH;Reeser Strasse 60 / D-46446 Emmerich;;EMMERICH;Germany;Karin;;;49 0 2822 920 107
36000240-3;Landliebe GmbH;Zollerstraße 7, 86850 Fischach, Germany;;Fischach;Germany;Maren;;;
36000241-1;OQEMA GmbH;Aachener Straße 258, D-41061;;MÖNCHENGLADBACH;Germany;Jill;;;49 2161 3563594
36000242-K;Dr. August Oetker Nahrungsmittel KG;Lutterstraße 14, 33617 Bielefeld;;Bielefeld;Germany;Tjard;;;
36000501-1;RUPP AG- PRIVATKASEREI RUPP;;;;Austria;;;;
36000502-K;ESAROM GmbH;;;;Austria;;;;
36000701-4;BRENNTAG NV;NIJVERHEIDSLAAN 38.  8540 DEERLIJK;;DEERLIJK;Belgium;;;;3256788257
36000702-2;Eurodesserts NV;;;;Belgium;;;;
36000703-0;Friesland Campina Belgium NV.;Venecolaan 17 9880 Aalter;;Aalter;Belgium;;;;
36000704-9;CREACHEM BVBA;;;;Belgium;;;;
36000705-7;MATERNE-CONFILUX;;;;Belgium;;;;
36000706-5;ISCAL SUGAR CARAMEL;;;;Belgium;;;;
36000707-3;BENS RETAIL NV;WESTERRING 19 9700 OUDENAARDE;;OUDENAARDE;Belgium;;;;
36000708-1;BENS DELI NV;KRIJTERSVELD 12, 2160, WOMMELGEM;;WOMMELGEM;Belgium;Dominique;;;
36000709-K;Productions Associées;Rue Coenraets, 72 1060 Bruxelles;;1060 Bruxelles;Belgium;Daniela;;;+32478837955
36000710-3;Transmare Chemie NV;Italiëlei 124 / bus 59 Theaterbuilding (15th floor) 2000 Antwerpen;;Antwerpen;Belgium;Cédric;;;
36000711-1;Ingrizo NV;Polderdreef 135, 9840 De Pinte;;De Pimte;Belgium;Lennert;;;
36000712-K;Daniela Prina;1000 Bruxelles (Belgique);;Bruxelles;Belgium;Daniela;;;
36001000-7;KUK - Bulgaria Ltd.,;17, St Naum Str.4002 Plovdiv;;Plovdiv;Bulgaria;Ani Mihaylova;;;
36001001-5;Papazov-Nik Bulgaria;Alen Mak str.11 Veliko Tarnovo 5000;;Veliko Tarnovo;Bulgaria;Nikolay;;;+359886666667
36001201-8;PALCONutrifit d.o.o;ZELENA ALEJA 46, 10 410 VELIKA GORICA, CROATIA;;CROATIA;Croatia;Adrijana;;;385 1 6110 878
36001301-4;CP KELCO APS;VED BANEN 16,DK-4623 LILLE SKENSVED;;LILLE SKENSVED;Denmark;;;;
36001302-2;International N&H Denmark ApS;Parallelvej 16 2800 Kongens Lyngby;;Lyngby;Denmark;;;;
36001303-0;Denico ApS;F.L.Smidths vej 12, 8600 Silkeborg, Denmark;;Silkeborg;Denmark;Søren;;;
36001304-9;PALSGAARD A/S;Palsgaardvej 10;;7130 Juelsminde;Denmark;Christiane;;;
36001401-0;KUK SLOVAKIA SPOL SRO;ZVOLENSKA 32 - 82109.  BRATISLAVA- SLOVAKIA;;BRATISLAVA;Slovakia;;;;421 258103401
36001402-9;SYRAREN BEL SLOVENSKO a.s.;Lastomírska 1, 071 01 Michalovce;;Michalovce;Slovakia;Marek;;;
36001600-5;EPSA (Emilio Peña Arriagada S. A.);C/LIBRERS 19, 46900;;;Spain;ALESSANDRO ANGIOLONI;;;34902102301
36001601-3;ADUANAS PUJOL RUBIO S.A.;CALLE E SECTOR C. PI ZONA FRANCA 08040 BARCELONA-ESPAÑA;;BARCELONA;Spain;;;;
36001602-1;AZELIS ESPAÑA S.A.;WTC ALMEDA PARK, PLAZA DE LA PAU S/N 08940 CORNELLA DE LLOBREGAT;;CORNELLA DE LLOBREGAT;Spain;;;;
36001603-K;INGRECO, INGREDIENTES COLOIDALES S.L.;Recinte Industrial Colonia Guell Edifici filatures planta 3,of. 9-D 08690 SANTA COLOMA DE CERVELLO;;SANTA COLOMA DE CERVELLO;Spain;;;;
36001604-8;MOLDTRANS S.L;CTRA.NACIONAL 152Z, KM14 P.I. PLA D'EN COLL 08110 MONTCADA/REIXAC-BARCELONA;;BARCELONA;Spain;;;;93 575 33 33
36001605-6;PREMIUM INGREDIENTS S.L;C/CARDENAL BELLUGA, PARCELA 24/23;;Murcia;Spain;;;;
36001606-4;GELYMAR EUROPA;"CALLE ""E"",SECTOR""C"", PI ZONA FRANCA VAT :N5121065F";;ZONA FRANCA;Spain;Europa;;932607007;932607000
36001606-4;GELYMAR EUROPA;"CALLE ""E"",SECTOR""C"", PI ZONA FRANCA VAT :N5121065F";;ZONA FRANCA;Spain;Boris;;932607007;932607000
36001607-2;TECNISAMPLE;POLIGONO INDUSTRIAL LES MASSOTES, GAVA;;;Spain;;;;
36001608-0;TECOM INGREDIENT;MIQUEL TORELLO I PAGE 43-45, POL, IND. EL PLA, MOLIN DE REIS, BARCELONA;;;Spain;;;;
36001609-9;WTC Almeda Park A/A;;;;Spain;;;;
36001610-2;Compañía Española de Algas Marinas S.A.;Polígono Industrial As Gándaras S/N 36418 Porriño (Pontevedra);;Porriño (Pontevedra);Spain;;;;34 986 34 40 89
36001611-0;BDN, SL;Pallars, 141 , 08018;;;Spain;Albert Monferrer;;;0033 5 5522 8204
36001612-9;VEDEQSA;GEMINIS 4, POL IND PARELLLADA 08228 TERRASSA;;;Spain;Jesus Loscos;;;
36001613-7;NUTRIS INGREDIENTS S.L.;C/ AGOSTO 6 LOCAL 4 28022;;;Spain;Inés de Santos;;;
36001614-5;HISPANAGAR SA;López Bravo 98 09001 Burgos;;Burgos;Spain;;;;34 947 29 85 19
36001615-3;PASCUAL;;;;Spain;;;;
36001616-1;MANE IBERICA S.A;Ctra. Molins-Sabadell, Km.13,3 08191 Rubi (Barcelona);;Barcelona;Spain;;;;
36001617-K;INDUKERN;;;;Spain;;;;
36001618-8;CREAMSA;;;;Spain;;;;
36001619-6;Blendhub, S.L.;C/Cardenal Belluga, parc. 24/23 Pol.Ind.Oeste.Apdo. 487 3.169 San Gines;;Murcia;Spain;;;;
36001620-K;Arcese España, SAU;Zona de Actividades Logísticas ZAL, Calle de la Mar Roja 42-50 - 08040. Barcelona - España;;Barcelona;Spain;;;;
36001621-8;INTER TIR SL;P.I. ZONA FRANCA C/ 41 Nº9  15 E-08040;;Barcelona;Spain;;;;
36001622-6;INGREGEL PARTNERS S.L.;Recinte Industrial Colonia Guell/Edifici Filatures planta 3,of 9-C CP 08690 Santa Coloma de Cervello;;Barcelona;Spain;Adolfo;;;
36001623-4;IBERCONDAL;C/E ESQUINA C/4 SECTOR C 08040;;BARCELONA;Spain;;;;
36001624-2;ABBAYE DE LA COUDRE;Sur Alice, Abbaye de le Coudre, Rue Saint Benoît;;53000 LAVAL;France;Bruno;;;
36001625-0;EURO BETA INTERNACIONAL S.L.;CIM.VALLES,C/LACUS 12 ES-08130 SANTA PERPETUA DE MOGODA;;Barcelona;Spain;;;;
36001626-9;KERRY IBERIA TASTE & NUTRITION S.L.U;KERRY IBERIA TASTE & NUTRITION S.L.U, C/ COTO DE DONANA, 15;;28320 PINTO;Spain;Velentina;;;34 91 69 19 104
36001622-6;INGREGEL PARTNERS S.L.;Recinte Industrial Colonia Guell/Edifici Filatures planta 3,of 9-C CP 08690 Santa Coloma de Cervello;;Barcelona;Spain;Adolfo;;;
36001628-5;Heppner - Eurobeta;CIM VALLES - Calle Lacus 12 08130;;Santa Perpetua de Mogoda;Spain;;;;
36001629-3;Emilio Peña S.A.;Calle Llibrers (pol. ind. Masia del Juez), 19, Torrent, 46900 , Valencia;;VALENCIA;Spain;Javier Blanquer;;;34 638 472 601
36001630-7;Carol;POL FONDOS DE L'ESTACIO // GARRAF S/N // 08792 LA GRANADA DEL PENEDES;;POL FONDOS DE L'ESTACIO;Spain;Marta;;;00 34 93-892-53-14
36001631-5;EUR GD TRADING;ZA Prp 541 Lot N 28 Loc A Ain Smara Constantine;;ARGELIA;Algeria;Abdelkader Bekhatir;;;
36001632-3;PRODOTTI GIANNI SRL;;;;Italy;Matteo Ricca;;;
36001633-1;Natural D'Mezclas;AVENIDA DE HOLANDA, S/N - POL INDUSTRIAL LAS SALINAS, PARC. 6-1, 30840 ALHAMA DE MURCIA;;ALHAMA DE MURCIA;Spain;Juan;;;
36001634-K;Auxiliar de Productos Alimentarios, S.A.;Paseo Egiburuberri, 23C, 20100 Rentería  Gipuzkoa (España);;Rentería  Gipuzkoa;Spain;Eduardo;;;
36001635-8;RETTENMAIER IBERICA S.L. Y CIA. S. COM.;TRAVESERA DE GRACIA, 56 - 2º 2ª, 08006 Barcelona Spain;;Barcelona;Spain;Miguel;;;
36001636-6;DISPROQUIMA, S.A.U.;C/TERRA, 42  P.I. ELS BELLOTS 08227 TERRASSA;;TERRASSA;Spain;Yolanda;;;
36001637-4;DKSH Marketing Services Spain, S.A.U.;Avda. Diagonal 545, Planta 2. 08029 Barcelona, Spain;;Barcelona;Spain;Carlos;;;
36001638-2;Apasa;;;;Spain;;;;
36001639-0;Ceylan;;;;Spain;;;;
36001640-4;CORAL TRANSPORTS & STOCKS, S.L.;C/ GARRAFPARC, 2 N.2A-2B - P.I. FONDOS DE L' ESTAC;;FONDOS DE L' ESTAC;Spain;;;;
36001900-4;Trust'ing;16 rue Ferdinand Farjon, 63200;;;France;Mrs Mathilde Blandin Delpierre;;;0033 5 5522 8204
36001901-2;ALLIANCE GUMS & iNDUSTRIES;222 RUE MUCHAEL CARRE;;MUCHAEL CARRE;France;;;;
36001902-0;BIODEAL;43 RUE DES HERIDEAUX;;;France;;;;
36001903-9;CARGILL FRANCE SAS;1, rue de Séves;;Séves;France;BARBARA MALMEZAT;;;0233713470
36001904-7;COLIN PALC SAS;Z.A. 67170 MITTELHAUSEN;;MITTELHAUSEN;France;;;;03 88 51 22 22
36001905-5;DAT SCHAUB FRANCE;13 RUE DES ALOUETTES. 94320 THIAIS;;THIAIS;France;;;;
36001906-3;EAST WEST PARTNERSHIP;BAT AGORA, 8 CHEMIN DE LESCAN. 33150 CENON;;CENON;France;;;;00 33  6 07 16 2517
36001907-1;GERENTES S.A.;LAITERIE DES MONTS YSSINGELAIS. 43200 ARAULES.;;ARAULES;France;;;;0471667040
36001908-K;IDI SAS;51-53 AVENUE FERNAND LOBBEDEZ;;FERNAND LOBBEDEZ;France;;;;
36001909-8;IN'BO;Z.I ROUTE DE LA ROCHELLE;;;France;;;;
36001910-1;INGREDIA S.A.;51, AVENUE FERNAND LOBBEDEZ, CS 60946 62033 ARRAS;;ARRAS;France;;;;
36001911-K;LAITERIE DE MONTAIGU - SAS SABOURIN;85607 MONTAIGU - CEDEX;;Cedex;France;;;;0033251456500
36001912-8;LAITERIE DE SAINT DENIS DE L´HOTEL SAS;45550 SAINT DENIS DEL L´HOTEL;;SAINT DENIS DEL L´HOTEL;France;;;;
36001913-6;NACTIS FLAVOURS & FRAGRANCES;ZI LA MARINIERE 36 RUE GUTENBERG 91070 BONDOUFLE;;BONDOUFLE;France;;;;33(0)1 60 86 40 43
36001914-4;SETALG;PRESQU´ILE DE PEN LAN;;;France;;;;
36001915-2;SARL NOVEIS;28 RUE DE RENNES. 35137 PLEUMELEUC;;;France;;;;
36001917-9;SOCIETE COMTOISE DE SPECIALITES FROMAGERES;ZA DE L´AUPRETIN RUE NICEPHORE NIEPCE - 71500 LOUHANS-CHATEAU RENAUD - FRANCE;;LOUHANS-CHATEAU RENAUD;France;;;;0033385757150
36001918-7;STE FROMAGERE DE LONS LE SAUNIER;CL2701 - FR 119203 39 AVENUE CAMILLE PROST BP 852 F-39008 LONS LE SAUNIER CEDEX;;LONS LE SAUNIER;France;;;;0033384241794
36001919-5;TEBORD SAS;BAT AGORA 8 CHEMIN DE LESCAN;;;France;;;;0033 607162517
36001920-9;WILLIAM SAURIN;81 AVENUE GAL LECLERC 77400 SAINT THIBAULT LES VIGNES;;SAINT THIBAULT LES VIGNES;France;;;;0160266963
36001921-7;OLGA;2, rue Julien Neveu - BP 93106  35531 NOYAL SUR VILAINE;;NOYAL SUR VILAINE;France;Ingrid;;;00 33 7 65 18 77 06
36001922-5;TRIBALLAT NOYAL(INACTIVO);RUE JULIEN NEVEU, 35531 NOYAL S/VILAINE CEDEX. FRANCE;;;France;;;;
36001923-3;SAS ALL IN FOODS (GRUPO BEL);29 RUE THOMAS EDISON, 44600 SAINT NAZAIRE - France;;SAINT NAZAIRE;France;Samy;;;
36001924-1;CHR HANSEN FRANCE SAS;92 RUE DES BARONNES, PRADES LE LEZ;;;France;;;;
36001925-K;DOW WOLFF CELLULOSICS;23 AVENUE JULES RIMET, La Plaine Saint-Denis CEDEXKAJANG;;;France;;;;
36001926-8;LABO MAI;2 AV DU MONTBOULON, SAINT SOUPPLETS;;;France;;;;
36001927-6;Comexo;;;;France;;;;
36001928-4;CEVA;Presqu'ile de Pen Lan - BP3, 22610;;;France;Mrs Maud Benoit;;;02 96 22 93 50
36001929-2;Senoble;30, rue des Jacquins;;;France;Mrs Virginie Guidez;;89150;33 (0)3 86 97 42 08
36001930-6;Routhiau Group;Avenue de la Metairie - BP 52 85250;;;France;Mr. Nicolas Routhiau;;;
36001931-4;Grupo Industrial Alimenticio, S.A.;Km 26.5 Carretera al Pacifico Paso a Desnivel;;Amatitlán;Guatemala;Lilian Grajeda;;;502 66288000
36001932-2;TRIBALLAT NOYAL;RUE JULIEN NEVEU, 35531 NOYAL S/VILAINE CEDEX. FRANCE;;NOYAL S/VILAINE CEDEX;France;;;;
36001933-0;GERS'SON ANDROS;LES ESCURES;;;France;;;;
36001934-9;INSCB-CNRS INCUBATEUR;1919 Route de Mende;;;France;;;;
36001935-7;ALLIANCE GUMS & iNDUSTRIES;222 RUE MUCHAEL CARRE;;CARRE;France;;;;
36001936-5;ARTEKO SAS;;;;France;;;;
36001937-3;SAS WAGNER;140 Chemin de la Zone d'Activité, 01370 SAINT ETIENNE DU BOIS;;SAINT ETIENNE DU BOIS;France;Aurélie;;;
36001938-1;L'ARMORICAINE L'AITIE;;;;France;;;;
36001939-K;shostka;;;;France;;;;
36001940-3;Societe Agrimer;;;;France;;;;
36001941-1;Jean Pierre Chapelle;;;;France;;;;
36001942-K;FROMAGERIES TERRES D'OR;17 rue des Varennes 71140 Bourbon-Lancy;;Bourbon-Lancy;France;Raphael Forat;;;+33 3 85 89 37 70
36001943-8;SOCIETE MICHEL RENAULT ET FILS  S.A.S.;ZONE INDUSTRIELLE NORD 543 ROUTE DE LA TREDONNIERE F-01400 CHATILLON SUR CHALARONNE;;CHATILLON SUR CHALARONNE;France;Michel Renault;;-33474519483;+33474519602
36001944-6;EVIAGENICS;Villejuif Biopark 1 Mail du Georges Mathé;;;France;;;+33145219390;+33149599700
36001945-4;INACTIVO ALGAIA S.A.;ZONE DE MENEZ BRAS;;Paris;France;;;;+33149599697
36001946-2;Fusion;;;;France;;;;
36001947-0;Sophie Baudot;;;;France;;;;
36001948-9;V.MANE FILS;620, route de Grasse, 06620 F-Le Bar-sur-Loup;;F-Le Bar-sur-Loup;France;Aymeric;;;+ 33 4 93 09 75 83
36001949-7;SAFIC ALCAN;13 COURS VALMY, 92800 PUTEAUX HAUTS-DE-SEINE;;PUTEAUX HAUTS-DE-SEINE;France;Nadine;;;
36001950-0;DKSH France S.A.;;;;France;;;;
36001951-9;Jérémie You;;;;France;;;;
36001952-7;LAITERIE DE ST PERE;La Claie Postal code 44320;;Sanit Pere En Retz;France;;;;+33 2 40 21 70 20
36001953-5;HTLA - ENIL MAMIROLLE;GRANDE RUE 25620 MAMIROLLE;;MAMIROLLE;France;Bruno;;;
36001954-3;FROMAGERIE BEL SA;2 Allee de Longchamp 92150 Suresnes;;Suresnes;France;;;;
36001955-1;ALGAIA S.A.;ZONE DE MENEZ BRAS 29870 LANNILIS;;Lannilis;France;;;;+33149599697
36001956-K;Société Industrielle Fromagère;3 rue du puits salé 70000 Charmoille;;Charmoille;France;;;;+33 (0) 3 8476 9401
36001957-8;LOUIS FRANCOIS SAS;17 RUE DES VIELLES VIGNES BP 86 - 77314 CROISSY BEAUBOURG;;Marne La Vallee Cedex 2;France;Bruno;;;+33(0)3 84 76 94 0
36001958-6;Societe Industrielle Fromagere (SIF);3 rue du puits salé Charmoille;;Charmoille;France;Franck;;;33 (0) 3 84 76 94 0
36001959-4;LACTALIS NESTLE ULTRA-FRAIS MARQUES;BOULEVARD PIERRE DESGRANGE ZI NORD;;ANDREZIEUX BOTHEON;France;Theodore;;;
36001960-8;PRODUITS JOCK SAS;190 QUAI DE BRAZZA 33100 BORDEAUX;;BORDEAUX;France;Carole;;;+33 0 5 57 77 02 77
36001961-6;NIGAY SAS;NIGAY SAS, ZI de la Gare, La Féculerie, BP-2, FEURS, 42110;;Feurs;France;Bruno;;+ 33 4 77 26 22 12;+ 33 4 77 26 21 33
36001962-4;EUROGERM;EUROGERM SA, Parc d'activités bois Guillaume-2 rue champ doré 21850 Saint-Apollinaire;;Saint-Apollinaire;France;Bruno;;;+33 3 80 730 777
36001963-2;BEL S.A.;Service Comptabilité Fournisseurs - 2 Allée de Longchamp 92150 Suresnes;;92150 Suresnes;France;Remy;;;
36001964-0;SA ALLIANCE GUMS & INDUSTRIES;SA ALLIANCE GUMS & INDUSTRIES 16 chemin des bas des Indes- bat F 95240 Cormeilles en Parisis;;95240 Cormeilles en Parisis;France;;;;
36001965-9;VINPAI;6 parc dactivité de la Fouée 56 130 SAINT DOLAY;;Saint Dolay;France;;;;
36001966-7;NOVANDIE;Route de Oinville, 28700 Auneau;;Oinville;France;Dlement;;;
36001967-5;SA GROUPE MERIDIS Kalys Food Division;216, impasse du Teura 38190 BERNIN;;BERNIN;France;;;;
36001968-3;EURIAL ULTRA FRAIS;30 RUE DES JACQUINS 89150 JOUY;;Jouy;France;Aude;;;
36001969-1;Papiers décorés;359 route de Peyrelevade, 19460 Naves;;19460 Naves;France;Marianne;;;
36001970-5;Danone Global Research & Innovation Center (DGRIC);Route Départementale 128 - 91190 GIF-SUR-YVETTE - FRANCE;;;France;GILLES;;;
36001971-3;Yaka-HT;5 rue de Rudemont, 27 310 Saint Ouen de Thouberville, France;;Saint Ouen de Thouberville;France;Emilie;;;
36001972-1;LELOWAL SAS;23 rue des Hauts Pres, 22100 DINAN;;22100 DINAN;France;Jean-Marie;;;
36001973-K;BARENTZ FRANCE SAS;Tour Franklin, 100 - 101 Terrasse Boieldieu - 92 042 La Défense;;La Defense;France;Bettina;;;33 6 75 39 36 51
36001974-8;RETTENMAIER France SARL;20 quater Rue Schnapper, 78100 Saint Germain en Laye;;Saint Germain en Laye;France;Fabrice;;;
36001975-6;TECHNICAL INTERNATIONAL TRADING;4 CHEMIN DE L ANGUILLON, 13160 CHATEAURENARD, FRANCE;;CHATEAURENARD;France;CYRILLE;;;
36002100-9;PROVIL S.A;A3 STREET, SINDOS INDUSTRIAL AREA, TK 57022, THESSALONIKI;;Thessaloniki;Greece;;;;+ 30 2310 79 57 30
36002101-7;CHEMICOTECHNICA S.A.;14, Polytimis str. 174 56 ALIMOS , Greece;;Alimos;Greece;;;;
36002200-5;Korostej Kft;Abonyi út 2 , H-2745 Koröstetétlen;;H-2745 Koröstetétlen;Hungary;Jozsef;;;
36002201-3;NovochemTrading and Service Co. Ltd.;H-1089 BUDAPEST,ORCZY ÚT 6.;;Budapest;Hungary;Tibor;;;+00 36-30-167-3833
36002300-1;CyberColloids Ltd.;;;;Ireland;;;;
36002301-K;Heterochem Dist Ltd;Robertson House Unit 49 Baldoyle Ind Estate Baldoyle Dublin 13 D12H2N2;;Estate Baldoyle Dublin;Ireland;Lara;;;
36002500-4;PRABO S.R.L.;VIA DELL'INDUSTRIA 78 26016 SPINO D'ADDA (CR);;SPINO D'ADDA;Italy;Eleonora Galmossi;;;
36002501-2;DELICATESSE SPA;VIA DEL LAVORO 45/47 20049 CONCORREZZO MILANO;;MILANO;Italy;Mr. Laurent Riffe;;;
36002502-0;PROCHIFAR SRL;VIA MONTE ROSA , 61;;;Italy;;;;
36002503-9;Giusto Faravelli SpA;Via Medardo Rosso 8, 20159;;;Italy;mariana zara;;;39 02 69 717 307
36002504-7;SILVA EXTRACTS SRL;VIA MARCO POLO 87036 RENDE (CS);;RENDE (CS);Italy;;;;
36002505-5;BARENTZ SERVICE S.p.A.;Via Privata Goito, 8 20037;;Paderno Dugnanco(MI);Italy;Mrs. Sara Fasani;;;
36002506-3;Reire;Via Rinaldi 95 42124;;;Italy;Mr Gabriele Alberini;;;
36002507-1;CHEMSERVICE s.p.a.;Via privata Goito n. 8 20037 Paderno Dugnano (MI);;Paderno Dugnano (MI);Italy;Laura Villa;;+39 02 99 50 00 92;+39 02 99 500 270
36002508-K;IBSA Farmaceutici;;;;Italy;;;;
36002510-1;S.I.I.T SRL;Via Ariosto 50/60, 20090;;Trezzano S/N;Italy;;;390248401793;39024843521
36002511-K;ADEA SRL;VIA Baden Powell, 5 21052 Busto Arsizio;;Italy;Italy;Lucia;;331 341950;331 341 949
36002512-8;Idealfoods SpA;Via Sant´Antonio Maria Zaccaria, 1 Milano (CP: 20122);;Milano;Italy;Claudia;;;(+39) 035 0072699
36002512-8;Idealfoods SpA;Via Sant´Antonio Maria Zaccaria, 1 Milano (CP: 20122);;Milano;Italy;Claudia;;;(+39) 035 0072699
36002513-6;Soremartec Italia S.r.l.;P.le Pietro Ferrero  12051 Alba (CN);;Alba;Italy;Giacomo;;;
36002514-4;Parmalat S.p.A.;Via Guglielmo Silva, 9  20149 Milano Italia;;Milano;Italy;LORENZO;;;+39 0521808945
36002515-2;LBG SICILIA SRL;zona industriale 3° fase  97100 Ragusa  Italy;;97100 Ragusa;Italy;Marta;;;
36002516-0;NATURALGUMS SRL;Via Vincenzo Monti 16, 20123 Milano;;Milano;Italy;Miriam;;;
36002517-9;B&C S.p.A.;Via Redipuglia 150, 21055 Gorla Minore (VA) - Italy;;21055 Gorla Minore (VA);Italy;Manuel;;;
36002601-9;KUK KAZAKHSTAN TOO;050045, Almaty, Zharokov street 358A, Republic of Kazakhstan;;Almaty;Kazakhstan;;;;7727 2977 044
36002602-7;Kari Victor;;;;Kazakhstan;;;;
36002603-5;NURBEK;;;;Kazakhstan;;;;
36002700-7;HUBSTOCK SIA;60, Darzciema str.,Riga, LV-1073;;Darzciema str.,Riga;Latvia;Tatyana;;;
36002800-3;MO GANDOUR & SONS S.A.L.;JOAN MARGALL, 1.  08775 CASTELLBISBAL BARCELONA;;CASTELLBISBAL BARCELONA;Spain;AWATEF DIAB;;;
36002801-1;REDACHEM UNITED FOR TRADING COMPANY;2697 King Saud Bin Abdulaziz Rd,9th Floor, Sky Tower, Qurtuba P.O.Box 77683, Al Khobar 34234;;Al Khobar 34234;Saudi Arabia;IBTISAM ALAMRI;;;
36002900-K;"UAB ""AD REM LEZ""";Pramones g. 10, LT-94102, Klaipeda, Lituania;;;Lithuania;Aiste - for Techpromeat.;;;37061331005
36002901-8;UAB RIVONA;Savanoriu ave. 176. LT-03154 Vilnius;;Vilnius;Lithuania;Ramunas Alionis;;;
36002902-6;UAB ANEXO;Vytauto Didziojo str. 97 LT-56111 Kaisiadorys LITHUANIA;;Kaisiadorys;Lithuania;Ramunas;;;
