Tipo;Nro;Fecha;OC;RCO;Rut;Direccion;Direccion_alterna;Medio_envio;Job;Condicion_venta;Localizacion;Cod_Impto;Vendedor;Certificados;Puerto_Embarque;Nave;Puerto_Destino;Clausula;Factura;Fecha_factura
O;7525;2020-3-1;GEL 200255;;34501606-6C;631 MOOSEHEAD TRAIL;WALDO;DHL;USD;30 days Invoice Date;;IVA_EXE;3;Análisis S.;;;USA;FOB;1012226;2020-2-28
O;7525;2020-3-1;GEL 200255;;34501606-6C;631 MOOSEHEAD TRAIL;WALDO;DHL;USD;30 days Invoice Date;;IVA_EXE;3;Análisis S.;;;USA;FOB;1012265;2020-3-11
O;7526;2020-4-2;GEL 526786;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;60 days Invoice Date;;IVA_EXE;3;Análisis S.;;;USA;FOB;1012481;2020-5-14
O;7529;2020-4-2;GEL 526783;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;60 days Invoice Date;;IVA_EXE;3;Análisis S.;;;USA;FOB;1012354;2020-3-31
O;7561;2020-3-18;GEL 14636;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;Terrestre;USD;60 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;BRASIL;FOB;1012392;2020-4-15
O;7563;2020-4-29;GEL 14637;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;Terrestre;USD;60 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;BRASIL;FOB;1012541;2020-5-28
O;7565;2020-5-31;GEL 4600006355;;36001301-4C;VED BANEN 16,DK-4623 LILLE SKENSVED;LILLE SKENSVED;Marítimo;USD;60 days Invoice Date;;IVA_EXE;1;Análisis S.;;;DINAMARCA;FOB;1012526;2020-5-26
O;12250;2022-6-26;GEL 0000322|22 - 104925018;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;3;Análisis S.;;;ITAJAI;FOB;1015314;2022-6-30
O;12252;2022-5-27;GEL 140830077;;34501614-7C;150 SE 2ND AVE. SUITE 507 MIAMI,FL. 33131;Miami;Marítimo;USD;45 days after BILL of Lading date NO USAR;;IVA_EXE;37;Análisis S.;;;VENEZUELA;FOB;1015176;2022-5-31
O;12274;2022-3-11;GEL 4500010532;;36001955-1C;ZONE DE MENEZ BRAS 29870 LANNILIS;Lannilis;DHL;EUR;60 days Invoice Date;;IVA_EXE;26;Análisis S.;;;FRANCIA;DAP;1014910;2022-3-14
O;12302;2022-2-26;GEL 4525349600;;34501621-KC;3 Waterway Square place Suite 1000 The Woodlands, TX 77380;The Woodlands, TX 77380;Aéreo;USD;60 days NO USAR;;IVA_EXE;3;Análisis S.;;;;DAP;1014853;2022-2-28
O;12315;2022-3-18;GEL 379/22;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;Marítimo;USD;90 days Invoice Date;;IVA_EXE;33;Análisis S. L.;;;SHANGHAI;CIF;1015017;2022-4-8
O;12323;2022-5-11;GEL LA-014-21;;32000602-3C;NATANIEL AGUIRRE Nº 645;COCHABAMBA;Terrestre;USD;30 días Fecha Factura;;IVA_EXE;36;Análisis S. L.;;;BOLIVIA;FCA;1015126;2022-5-13
O;12340;2022-4-24;GEL DAN 731368;;32000206-0C;Moreno 877 piso 14;Buenos Aires;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FOB;1015059;2022-4-25
O;12341;2022-4-14;GEL 4500010554;;36001955-1C;ZONE DE MENEZ BRAS 29870 LANNILIS;Lannilis;Aéreo;EUR;60 days Invoice Date;;IVA_EXE;26;Análisis S.;;;FRANCIA;DDP;1015246;2022-6-17
O;12371;2022-3-19;GEL PPUO040684;;36003200-0C;UB 50 INDUSTRIAL ESTATE, SAN GWANN SGN 3000, MALTA EU;SAN GWANN;DHL;EUR;30 days Invoice Date;;IVA_EXE;26;Análisis S.;;;;CIF;1014937;2022-3-22
O;12396;2022-5-8;GEL 4525382912;;34501621-KC;3 Waterway Square place Suite 1000 The Woodlands, TX 77380;The Woodlands, TX 77380;Marítimo;USD;60 days NO USAR;;IVA_EXE;3;Análisis S.;;;BALTIMORE;FOB;1015001;2022-3-31
O;12402;2022-5-18;GEL QT2202-53;;32002808-6C;Av. el Derby Nro. 250 Dpto. 1101 Int. 11 (Edificio Capital Derby - Piso 11) - Santiago de Surco;Lima;Marítimo;USD;60 days Invoice Date;;IVA_EXE;36;Análisis S.;;;PERÚ;FCA;1015153;2022-5-25
O;12407;2022-3-18;GEL 50039760;;35002406-9C;27TH FLOOR MENARA ZURICH 15, JALAN DATO ABDULLAH TAHIR 80300 JOHOR BAHRU, MALAYSIA;JOHOR BAHRU;Marítimo;USD;90 days Invoice Date;;IVA_EXE;33;Análisis S. L.;;;MALASIA;CIF;1014932;2022-3-21
O;12520;2022-3-24;GEL 1003374 / 75;;32001502-2C;KM. 12,5 CARRETERA AL PUERTO DE LA LIBERTAD NUEVO CUSCATLAN EL SALVADOR CENTTRO AMERICA;El Salvador;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;37;Análisis S.;;;SAN SALVADOR;CIF;1015269;2022-6-24
O;12553;2022-5-15;GEL 4600006817;;36001301-4C;VED BANEN 16,DK-4623 LILLE SKENSVED;LILLE SKENSVED;Marítimo;USD;60 days Invoice Date;;IVA_EXE;1;Análisis S.;;;DINAMARCA;FOB;1015310;2022-6-30
O;12597;2022-6-19;GEL 00001-00002308/2310;;32000207-9C;Lavalle 1125 Piso 11 (1048) Buenos Aires;Buenos Aires;Terrestre;USD;30 dias Fecha CRT;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1015264;2022-6-22
O;12597;2022-6-19;GEL 00001-00002308/2310;;32000207-9C;Lavalle 1125 Piso 11 (1048) Buenos Aires;Buenos Aires;Terrestre;USD;30 dias Fecha CRT;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1015388;2022-7-22
O;12610;2022-6-25;GEL 4502040017;;96627500-6C;LONGITUDINAL SUR KM 1078.6;PARGUA;;USD;60 días Fecha Factura;;IVA;1;Análisis S.;;;;EXW;1037748;2022-7-21
O;11223;2021-10-31;GEL 521;;36500206-1C;ROUTE BOUSMAIL LOT BELHAOUANE N°24 VILLE DE KOLEA WILAYA DE TIPAZA CP42400 ALGERIE;VILLE DE KOLEA WILAYA DE TIPAZA;Marítimo;USD;55% CAD and 45% 90 days;;IVA_EXE;26;Análisis S. L.;;;ALGER;CFR;;
O;11240;2021-10-22;GEL 2021/3;;35001701-1C;VAT # 511256737 3, ELIAHU EITAN STREET, IND, ZONE;RISHON LEZION 75703;Marítimo;USD;120 days Invoice Date;;IVA_EXE;26;Análisis S.;;;ASHDOD;CIF;1014453;2021-10-29
O;11289;2021-11-23;GEL 4516414290.90;;33002401-1C;Ernesto Pugibet 2 Industrial Xalostoc Ecatepec de Morelos MEX MX 55348 SAC920117AFA;ECATEPEC de MORELOS;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;8;Análisis S.;;;MANZANILLO;CIF;1014526;2021-11-23
O;11321;2021-11-14;GEL OI-970;;32001006-3C;Autopista Medellin Km 5,7 costado sur Bg 1, Tenjo,  NIT(Tax ID) 830.027.231.-3;Tenjo;Marítimo;USD;90 days Invoice Date;;IVA_EXE;37;Análisis S. L.;;;CARTAGENA;FCA;1014542;2021-11-29
O;11321;2021-11-14;GEL OI-970;;32001006-3C;Autopista Medellin Km 5,7 costado sur Bg 1, Tenjo,  NIT(Tax ID) 830.027.231.-3;Tenjo;Marítimo;USD;90 days Invoice Date;;IVA_EXE;37;Análisis S. L.;;;CARTAGENA;FCA;1014670;2021-12-29
O;11324;2021-10-17;GEL 001.651;;32002701-2C;Cruz del Defensor 1614;Asunción;Terrestre;USD;30 days Invoice Date;;IVA_EXE;36;Análisis S.;;;ASUNCIÓN;FCA;1014398;2021-10-19
O;11350;2021-10-6;GEL 4525010041;;32000803-4C;9800 Van Horne way V6X 1W5 , Richmond , British Columbia;Richmond;DHL;USD;60 days NO USAR;;IVA_EXE;3;Análisis S.;;;COQUITLAM;DAP;1014346;2021-10-6
O;11368;2021-11-12;GEL GELY-P-09-21;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;Marítimo;USD;90 days from BL Date;;IVA_EXE;36;Análisis S.;;;GUAYAQUIL;FOB;1014488;2021-11-12
O;11368;2021-11-12;GEL GELY-P-09-21;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;Marítimo;USD;90 days from BL Date;;IVA_EXE;36;Análisis S.;;;GUAYAQUIL;FOB;1014704;2022-1-11
O;11378;2021-11-12;GEL QT2110-16;;32002808-6C;Av. el Derby Nro. 250 Dpto. 1101 Int. 11 (Edificio Capital Derby - Piso 11) - Santiago de Surco;Lima;Marítimo;USD;60 days Invoice Date;;IVA_EXE;36;Análisis S.;;;CALLAO;FCA;1014492;2021-11-16
O;11379;2021-10-24;GEL 00387-2021;;32003507-4C;Cambay 2816 Zip Code 12100;Montevideo;Terrestre;USD;Contado;;IVA_EXE;2;Análisis S.;;;MONTEVIDEO;FCA;1014368;2021-10-12
O;11380;2021-10-31;GEL LA-63-20;;32001404-2C;AV. MALDONADO S28-35(SECTOR GUAJALO);QUITO;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;36;Análisis S.;;;GUAYAQUIL;CFR;1014450;2021-10-29
O;11426;2021-11-14;GEL 4400001945;;32000600-7C;Calle teniente oquendo Nº 103;La Paz;Terrestre;USD;30 días Fecha Factura;;IVA_EXE;36;Análisis S. L.;;;BOLIVIA;FCA;1014500;2021-11-16
O;11537;2021-12-11;GEL 373/21;;35000804-7C;ROOM909,Bldg 17,Royal Intl.Mansion,No2 Xitieying Middle Road;Fengtai District, BEIJING CP 100069;Marítimo;USD;Letter of Credit at Sight;;IVA_EXE;33;Análisis S. L.;;;TIANJIN XINGANG;CIF;1014754;2022-1-26
O;11578;2022-6-2;GEL SP21406 A;;34501615-5C;25 health Sciences Drive;New York;Marítimo;USD;30 days Invoice Date;;IVA_EXE;3;Análisis S.;;;NEW YORK;FCA;1016938;2023-11-27
O;11580;2021-12-15;GEL OI-1083;;32001006-3C;Autopista Medellin Km 5,7 costado sur Bg 1, Tenjo,  NIT(Tax ID) 830.027.231.-3;Tenjo;Marítimo;USD;90 days Invoice Date;;IVA_EXE;37;Análisis S. L.;;;CARTAGENA;FCA;1014711;2022-1-12
O;11580;2021-12-15;GEL OI-1083;;32001006-3C;Autopista Medellin Km 5,7 costado sur Bg 1, Tenjo,  NIT(Tax ID) 830.027.231.-3;Tenjo;Marítimo;USD;90 days Invoice Date;;IVA_EXE;37;Análisis S. L.;;;CARTAGENA;FCA;1015114;2022-5-10
O;11590;2021-11-25;GEL 529 / PO QR-21-0323/DID;;35003200-2C;PO BOX 23376, 28 th Floor, Office N02, QatarTower;Qatar;Aéreo;USD;30 days Invoice Date;;IVA_EXE;26;Análisis S.;;;HAMAD AIR PORT;CPT;1014537;2021-11-26
O;11592;2021-12-16;GEL 4500009934;;36001955-1C;ZONE DE MENEZ BRAS 29870 LANNILIS;Lannilis;DHL;EUR;60 days Invoice Date;;IVA_EXE;26;Análisis S.;;;FRANCIA;DAP;1014659;2021-12-28
O;11593;2021-12-30;GEL 0002469|21;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;3;Análisis S.;;;NAVEGANTES;FOB;1014707;2022-1-11
O;11596;2021-12-28;GEL 4516995422.30;;33002401-1C;Ernesto Pugibet 2 Industrial Xalostoc Ecatepec de Morelos MEX MX 55348 SAC920117AFA;ECATEPEC de MORELOS;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;8;Análisis S.;;;MANZANILLO;CIF;1014692;2022-1-6
O;11598;2022-1-18;GEL 4516995422.50;;33002401-1C;Ernesto Pugibet 2 Industrial Xalostoc Ecatepec de Morelos MEX MX 55348 SAC920117AFA;ECATEPEC de MORELOS;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;8;Análisis S.;;;MANZXANILLO;CIF;1014757;2022-1-26
O;11601;2022-2-15;GEL 4516995422.80;;33002401-1C;Ernesto Pugibet 2 Industrial Xalostoc Ecatepec de Morelos MEX MX 55348 SAC920117AFA;ECATEPEC de MORELOS;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;8;Análisis S.;;;MANZANILLO;CIF;1014875;2022-2-28
O;11602;2022-2-22;GEL 4516995422.90;;33002401-1C;Ernesto Pugibet 2 Industrial Xalostoc Ecatepec de Morelos MEX MX 55348 SAC920117AFA;ECATEPEC de MORELOS;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;8;Análisis S.;;;MANZANILLO;CIF;1014944;2022-3-23
O;11603;2022-3-1;GEL 4516995422.100;;33002401-1C;Ernesto Pugibet 2 Industrial Xalostoc Ecatepec de Morelos MEX MX 55348 SAC920117AFA;ECATEPEC de MORELOS;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;8;Análisis S.;;;MANZANILLO;CIF;1015019;2022-4-8
O;11606;2022-3-29;GEL 4516995422.130;;33002401-1C;Ernesto Pugibet 2 Industrial Xalostoc Ecatepec de Morelos MEX MX 55348 SAC920117AFA;ECATEPEC de MORELOS;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;8;Análisis S.;;;MANZANILLO;CIF;1015408;2022-7-27
O;11645;2022-1-9;GEL GELY-P-11-21;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;Marítimo;USD;90 days from BL Date;;IVA_EXE;36;Análisis S.;;;GUAYAQUIL;FOB;1014842;2022-2-23
O;11731;2022-1-22;GEL OC-021846-2;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;150 dias Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1014783;2022-2-4
O;11750;2021-12-19;GEL 47718 / PF 531;;36004604-4C;Europastrasse 15 / 5734 Reinach;Reinach;Aéreo;EUR;30 days NO USAR;;IVA_EXE;26;Análisis S.;;;ZURICH;CIP;1014597;2021-12-13
O;11751;2021-12-8;GEL 4501967916;;36003907-2C;PO Box 531, Hull HU9 9HP Tel: +44 (0) 800 5003028;;;USD;30 days Invoice Date;;IVA_EXE;26;Análisis S.;;;REINO UNIDO;DDP;1014650;2021-12-22
O;11841;2022-1-29;GEL OC-022364-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;150 dias Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1014763;2022-1-27
O;11926;2022-1-27;GEL 4501980387;;34501600-7C;Philadelphia PA 19101, PO Box 42819;Philadelphia;Marítimo;USD;60 days Invoice Date;;IVA_EXE;1;Análisis S.;;;USA;FOB;1014766;2022-1-28
O;11932;2021-12-30;GEL 1601003798;;36002513-6C;P.le Pietro Ferrero  12051 Alba (CN);Alba;DHL;EUR;30 days Invoice Date;;IVA_EXE;26;Análisis S.;;;ITALIA;DAP;1014681;2021-12-30
O;11934;2022-1-5;GEL 613;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;Aéreo;USD;60 días Fecha Factura;;IVA_EXE;8;Análisis S.;;;MÉXICO;CIF;1014833;2022-2-21
O;11955;2022-3-6;GEL 4500010219;;36001955-1C;ZONE DE MENEZ BRAS 29870 LANNILIS;Lannilis;Marítimo;EUR;60 days Invoice Date;;IVA_EXE;26;Análisis S.;;;FRANCIA;FOB;1014994;2022-3-31
O;11961;2022-2-13;GEL OC-022363-1;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;150 dias Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1014893;2022-3-9
O;11980;2022-3-4;GEL 378;;35000804-7C;ROOM909,Bldg 17,Royal Intl.Mansion,No2 Xitieying Middle Road;Fengtai District, BEIJING CP 100069;Marítimo;USD;Letter of Credit at Sight;;IVA_EXE;33;Análisis S. L.;;;TIANJIN;CIF;1014925;2022-3-16
O;11997;2022-1-14;GEL 4500010254;;36001955-1C;ZONE DE MENEZ BRAS 29870 LANNILIS;Lannilis;DHL;EUR;60 days Invoice Date;;IVA_EXE;26;Análisis S.;;;FRANCIA;DAP;1014750;2022-1-24
O;12049;2022-1-15;GEL PC2201014;;35003601-6C;38 Chalanttip Building, 3rd Floor Unit 3A,Convent Road, Silom, Bangrak, Bangkok Thailand 10500;Bangkok Thailand 10500;DHL;USD;30 days NO USAR;;IVA_EXE;33;Análisis S.;;;;DAP;1014751;2022-1-25
O;12065;2022-3-10;GEL PC22/00013;;36001619-6C;C/Cardenal Belluga, parc. 24/23 Pol.Ind.Oeste.Apdo. 487 3.169 San Gines;Murcia;Marítimo;EUR;60 days Invoice Date;;IVA_EXE;26;Análisis S.;;;;CIF;1014873;2022-2-28
O;12116;2022-2-16;GEL 49955883;;35002406-9C;27TH FLOOR MENARA ZURICH 15, JALAN DATO ABDULLAH TAHIR 80300 JOHOR BAHRU, MALAYSIA;JOHOR BAHRU;Marítimo;USD;90 days Invoice Date;;IVA_EXE;33;Análisis S.;;;;CIF;1014809;2022-2-14
O;12119;2022-8-9;GEL 4501983894;;34501600-7C;Philadelphia PA 19101, PO Box 42819;Philadelphia;Marítimo;USD;60 days Invoice Date;;IVA_EXE;1;Análisis S.;;;;FOB;1015483;2022-8-19
O;12122;2022-11-8;GEL 4501983900;;34501600-7C;Philadelphia PA 19101, PO Box 42819;Philadelphia;Marítimo;USD;60 days Invoice Date;;IVA_EXE;1;Análisis S.;;;;FOB;1016265;2023-3-31
O;12122;2022-11-8;GEL 4501983900;;34501600-7C;Philadelphia PA 19101, PO Box 42819;Philadelphia;Marítimo;USD;60 days Invoice Date;;IVA_EXE;1;Análisis S.;;;;FOB;1016375;2023-4-28
O;12123;2022-12-6;GEL 4501983904;;34501600-7C;Philadelphia PA 19101, PO Box 42819;Philadelphia;Marítimo;USD;60 days Invoice Date;;IVA_EXE;1;Análisis S.;;;;FOB;1016998;2023-12-20
O;12128;2022-3-19;GEL 088841-1;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;150 dias Fecha Factura;;IVA;2;Análisis S.;;;;FCA;1015011;2022-4-7
O;12130;2022-3-26;GEL 108;;34501623-6C;1743 Addison Street Berkeley;California 94703;Otro;USD;PREPAYMENT NO USAR;;IVA_EXE;3;Análisis S.;;;;FOB;1014991;2022-3-30
O;12137;2022-3-30;GEL 538 / QR-22-0017/DID;;35003200-2C;PO BOX 23376, 28 th Floor, Office N02, QatarTower;Qatar;Aéreo;USD;30 days Invoice Date;;IVA_EXE;26;Análisis S.;;;QATAR;FCA;1014993;2022-3-31
O;12139;2022-4-14;GEL 539;;36500206-1C;ROUTE BOUSMAIL LOT BELHAOUANE N°24 VILLE DE KOLEA WILAYA DE TIPAZA CP42400 ALGERIE;VILLE DE KOLEA WILAYA DE TIPAZA;Marítimo;USD;90 days from BL Date;;IVA_EXE;26;Análisis S.;;;PORT ALGER;CFR;1015726;2022-10-26
O;12150;2022-3-23;GEL 00001-00002290;;32000207-9C;Lavalle 1125 Piso 11 (1048) Buenos Aires;Buenos Aires;Terrestre;USD;30 dias Fecha CRT;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1014964;2022-3-28
O;12199;2022-4-24;GEL 4500197614;;32003505-8C;Paraguay N°2141 of. 1204 A Aguada Park , Montevideo Uruguay;Montevideo;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1015096;2022-5-9
O;12652;2022-5-29;GEL 4525473451;;34501621-KC;3 Waterway Square place Suite 1000 The Woodlands, TX 77380;The Woodlands, TX 77380;Aéreo;USD;60 days NO USAR;;IVA_EXE;3;Análisis S.;;;USA;DAP;1015175;2022-5-31
O;12654;2022-8-16;GEL 140830215;;34501614-7C;150 SE 2ND AVE. SUITE 507 MIAMI,FL. 33131;Miami;Marítimo;USD;45 days after BILL of Lading date NO USAR;;IVA_EXE;37;Análisis S.;;;VENEZUELA;FOB;1015489;2022-8-22
O;12655;2022-9-2;GEL 140830281;;34501614-7C;150 SE 2ND AVE. SUITE 507 MIAMI,FL. 33131;Miami;Marítimo;USD;60 days Invoice Date;;IVA_EXE;37;Análisis S.;;;VENEZUELA;FOB;1016515;2023-6-12
O;12707;2022-6-14;GEL 381;;35000804-7C;ROOM909,Bldg 17,Royal Intl.Mansion,No2 Xitieying Middle Road;Fengtai District, BEIJING CP 100069;Marítimo;USD;Letter of Credit at Sight;;IVA_EXE;33;Análisis S.;;;;CIF;1015308;2022-6-30
O;12748;2022-7-6;GEL 1721;;32001006-3C;Autopista Medellin Km 5,7 costado sur Bg 1, Tenjo,  NIT(Tax ID) 830.027.231.-3;Tenjo;Marítimo;USD;90 days Invoice Date;;IVA_EXE;37;Análisis S.;;;;FCA;1015415;2022-7-29
O;12777;2022-5-28;GEL 4525530454;;34501621-KC;3 Waterway Square place Suite 1000 The Woodlands, TX 77380;The Woodlands, TX 77380;Marítimo;USD;60 days NO USAR;;IVA_EXE;3;Análisis S.;;;;FOB;1015178;2022-5-31
O;12778;2022-7-16;GEL 429/22;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Terrestre;USD;120 Días Fecha Factura;;IVA;3;Análisis;;;;FOB;1015484;2022-8-19
O;12778;2022-7-16;GEL 429/22;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Terrestre;USD;120 Días Fecha Factura;;IVA;3;Análisis;;;;FOB;1015533;2022-8-31
O;12780;2022-7-23;GEL 382/22;;35000804-7C;ROOM909,Bldg 17,Royal Intl.Mansion,No2 Xitieying Middle Road;Fengtai District, BEIJING CP 100069;Marítimo;USD;Letter of Credit at Sight;;IVA_EXE;33;Análisis S.;;;;CIF;1015636;2022-9-30
O;12790;2022-7-24;GEL 383/22;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;Marítimo;USD;90 days Invoice Date;;IVA_EXE;33;Análisis S. L.;;;SHANGHAI;CIF;1015472;2022-8-12
O;12836;2022-7-28;GEL 4501058436;;36501202-4C;Second Industrial Zone G23 El Nile St.,B2 10th of Ramadan City-Sharkia;Ramadan;Marítimo;EUR;50 days from invoice date NO USAR;;IVA_EXE;26;Análisis S.;;;ALEXANDRIE;CFR;1015392;2022-7-25
O;12858;2022-8-14;GEL 4500201314;;32003505-8C;Paraguay N°2141 of. 1204 A Aguada Park , Montevideo Uruguay;Montevideo;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1015838;2022-11-30
O;12869;2022-7-20;GEL 00001-00002327;;32000207-9C;Lavalle 1125 Piso 11 (1048) Buenos Aires;Buenos Aires;Terrestre;USD;30 dias Fecha CRT;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1015391;2022-7-22
O;12879;2022-6-8;GEL 2223/05/01;;35001305-9C;VILLAGE FATEHPUR, POST OFFICE MAJRA JATTAN, TEHSIL BALACHAUR DISTT.S.B.S.NAGAR (NAWANSHAHR);PUNJAB;Aéreo;USD;30 days Invoice Date;;IVA_EXE;33;Análisis S.;;;MUMBAI;CIF;1015213;2022-6-9
O;12880;2022-5-29;GEL 00001-00002331;;32000207-9C;Lavalle 1125 Piso 11 (1048) Buenos Aires;Buenos Aires;Terrestre;USD;30 dias Fecha CRT;;IVA_EXE;2;Análisis S.;;;BUENOS AIRES;FCA;1015312;2022-6-30
O;12945;2022-8-9;GEL 7100003767;;32000702-KC;RUA RODOLFO HUFENUSSLER, 755 CAIXA;CEP 89251-901;Terrestre;USD;60 days Invoice Date;;IVA_EXE;3;Análisis S.;;;SAO PAULO;FCA;1015496;2022-8-23
O;12206;2022-2-17;GEL 49924053;;35002406-9C;27TH FLOOR MENARA ZURICH 15, JALAN DATO ABDULLAH TAHIR 80300 JOHOR BAHRU, MALAYSIA;JOHOR BAHRU;Marítimo;USD;90 days Invoice Date;;IVA_EXE;33;Análisis S. L.;;;KLANG PORT;CIF;1014808;2022-2-14
O;12226;2022-4-26;GEL 0000231|22;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Terrestre;USD;120 Días Fecha Factura;;IVA_EXE;3;Análisis S.;;;;FCA;1015087;2022-4-29
O;12227;2022-4-21;GEL 2022/00120;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;36;Análisis S.;;;CALLAO - PERÚ;FCA;1015053;2022-4-25
O;12227;2022-4-21;GEL 2022/00120;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;36;Análisis S.;;;CALLAO - PERÚ;FCA;1015075;2022-4-29
O;12237;2022-5-4;GEL 0000306|22;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;3;Análisis S.;;;;FOB;1015157;2022-5-26
O;12241;2022-5-4;GEL 540;;36004716-4C;Barbaros Mah. Al Zambak Sok. Varyap Meridian A Blok No: 2/23 Atasehir/Istanbul;Istanbul;Marítimo;EUR;Payment in Advance;;IVA_EXE;26;Análisis S.;;;TURKEY;FOB;1015515;2022-8-29
O;12248;2022-5-11;GEL 0000101|22 - 104755637;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;3;Análisis S.;;;ITAJAI;FOB;1015228;2022-6-14
O;12251;2022-7-3;GEL 0000322|22 - 104929543;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;Marítimo;USD;120 Días Fecha Factura;;IVA_EXE;3;Análisis S.;;;ITAJAI;FOB;1015441;2022-7-29
O;12299;2022-5-20;GEL 7100003608;;32000702-KC;RUA RODOLFO HUFENUSSLER, 755 CAIXA;CEP 89251-901;Terrestre;USD;60 days Invoice Date;;IVA_EXE;3;Análisis S.;;;JARAGÚA DO SUL - BRASIL;FCA;1015165;2022-5-27
